Date,Auction_DPL,Auction_Duke,Auction_AEP,Auction_FirstE
2014-01-01,,53.2236,,55.2485
2014-02-01,,53.2236,,55.2485
2014-03-01,,53.2236,,55.2485
2014-04-01,,53.2236,,55.2485
2014-05-01,,53.2236,,55.2485
2014-06-01,,53.0438,49.3385,59.2996
2014-07-01,,53.0438,49.3385,59.2996
2014-08-01,,53.0438,49.3385,59.2996
2014-09-01,,53.0438,49.3385,59.2996
2014-10-01,,53.0438,49.3385,59.2996
2014-11-01,,53.0438,49.3385,59.2996
2014-12-01,,53.0438,49.3385,59.2996
2015-01-01,,53.0438,49.3385,59.2996
2015-02-01,,53.0438,49.3385,59.2996
2015-03-01,,53.0438,49.3385,59.2996
2015-04-01,,53.0438,49.3385,59.2996
2015-05-01,,53.0438,49.3385,59.2996
2015-06-01,31.04,58.507,54.8702,65.1012
2015-07-01,31.04,58.507,54.8702,65.1012
2015-08-01,31.04,58.507,54.8702,65.1012
2015-09-01,31.04,58.507,54.8702,65.1012
2015-10-01,31.04,58.507,54.8702,65.1012
2015-11-01,31.04,58.507,54.8702,65.1012
2015-12-01,31.04,58.507,54.8702,65.1012
2016-01-01,31.04,58.507,54.8702,65.1012
2016-02-01,31.04,58.507,54.8702,65.1012
2016-03-01,31.04,58.507,54.8702,65.1012
2016-04-01,31.04,58.507,54.8702,65.1012
2016-05-01,31.04,58.507,54.8702,65.1012
2016-06-01,51.636,55.2124,52.9831,50.0493
2016-07-01,51.636,55.2124,52.9831,50.0493
2016-08-01,51.636,55.2124,52.9831,50.0493
2016-09-01,51.636,55.2124,52.9831,50.0493
2016-10-01,51.636,55.2124,52.9831,50.0493
2016-11-01,51.636,55.2124,52.9831,50.0493
2016-12-01,51.636,55.2124,52.9831,50.0493
2017-01-01,51.636,55.2124,52.9831,50.0493
2017-02-01,51.636,55.2124,52.9831,50.0493
2017-03-01,51.636,55.2124,52.9831,50.0493
2017-04-01,51.636,55.2124,52.9831,50.0493
2017-05-01,51.636,55.2124,52.9831,50.0493
2017-06-01,50.325,52.7831,51.1387,50.6157
2017-07-01,50.325,52.7831,51.1387,50.6157
2017-08-01,50.325,52.7831,51.1387,50.6157
2017-09-01,50.325,52.7831,51.1387,50.6157
2017-10-01,50.325,52.7831,51.1387,50.6157
2017-11-01,50.325,52.7831,51.1387,50.6157
2017-12-01,50.325,52.7831,51.1387,50.6157
2018-01-01,50.325,52.7831,51.1387,50.6157
2018-02-01,50.325,52.7831,51.1387,50.6157
2018-03-01,50.325,52.7831,51.1387,50.6157
2018-04-01,50.325,52.7831,51.1387,50.6157
2018-05-01,50.325,52.7831,51.1387,50.6157
2018-06-01,49.0674,50.3145,49.3497,49.1513
2018-07-01,49.0674,50.3145,49.3497,49.1513
2018-08-01,49.0674,50.3145,49.3497,49.1513
2018-09-01,49.0674,50.3145,49.3497,49.1513
2018-10-01,49.0674,50.3145,49.3497,49.1513
2018-11-01,49.0674,50.3145,49.3497,49.1513
2018-12-01,49.0674,50.3145,49.3497,49.1513
2019-01-01,49.0674,50.3145,49.3497,49.1513
2019-02-01,49.0674,50.3145,49.3497,49.1513
2019-03-01,49.0674,50.3145,49.3497,49.1513
2019-04-01,49.0674,50.3145,49.3497,49.1513
2019-05-01,49.0674,50.3145,49.3497,49.1513
2019-06-01,47.6649,57.0309,47.376,47.98
2019-07-01,47.6649,57.0309,47.376,47.98
2019-08-01,47.6649,57.0309,47.376,47.98
2019-09-01,47.6649,57.0309,47.376,47.98
2019-10-01,47.6649,57.0309,47.376,47.98
2019-11-01,47.6649,57.0309,47.376,47.98
2019-12-01,47.6649,57.0309,47.376,47.98
2020-01-01,47.6649,57.0309,47.376,47.98
2020-02-01,47.6649,57.0309,47.376,47.98
2020-03-01,47.6649,57.0309,47.376,47.98
2020-04-01,47.6649,57.0309,47.376,47.98
2020-05-01,47.6649,57.0309,47.376,47.98
2020-06-01,42.6975,47.2372,42.1655,44.0922
2020-07-01,42.6975,47.2372,42.1655,44.0922
2020-08-01,42.6975,47.2372,42.1655,44.0922
2020-09-01,42.6975,47.2372,42.1655,44.0922
2020-10-01,42.6975,47.2372,42.1655,44.0922
2020-11-01,42.6975,47.2372,42.1655,44.0922
2020-12-01,42.6975,47.2372,42.1655,44.0922
